airline,source_airport,dest_airport,source_country,dest_country
2B,GYD,NBC,Azerbaijan,Russia
2B,NBC,GYD,Russia,Azerbaijan
2J,ABJ,BOY,Cote d'Ivoire,Burkina Faso
2J,ABJ,OUA,Cote d'Ivoire,Burkina Faso
2J,ACC,OUA,Ghana,Burkina Faso
2J,BKO,ABJ,Mali,Cote d'Ivoire
2J,BKO,DKR,Mali,Senegal
2J,BKO,OUA,Mali,Burkina Faso
2J,BOY,ABJ,Burkina Faso,Cote d'Ivoire
2J,COO,LFW,Benin,Togo
2J,COO,OUA,Benin,Burkina Faso
2J,DKR,BKO,Senegal,Mali
2J,DKR,OUA,Senegal,Burkina Faso
2J,LFW,OUA,Togo,Burkina Faso
2J,NIM,OUA,Niger,Burkina Faso
2J,OUA,ABJ,Burkina Faso,Cote d'Ivoire
2J,OUA,ACC,Burkina Faso,Ghana
2J,OUA,BKO,Burkina Faso,Mali
2J,OUA,COO,Burkina Faso,Benin
2J,OUA,DKR,Burkina Faso,Senegal
2J,OUA,LFW,Burkina Faso,Togo
2J,OUA,NIM,Burkina Faso,Niger
2K,BOG,GYE,Colombia,Ecuador
2K,BOG,UIO,Colombia,Ecuador
2K,CLO,GYE,Colombia,Ecuador
2K,GYE,BOG,Ecuador,Colombia
2K,GYE,CLO,Ecuador,Colombia
2K,UIO,BOG,Ecuador,Colombia
2L,BDS,ZRH,Italy,Switzerland
2L,BOD,ZRH,France,Switzerland
2L,BRS,ZRH,United Kingdom,Switzerland
2L,GVA,LPA,Switzerland,Spain
2L,LCA,ZRH,Cyprus,Switzerland
2L,LPA,ZRH,Spain,Switzerland
2L,RMF,ZRH,Egypt,Switzerland
2L,TFS,GVA,Spain,Switzerland
2L,ZRH,BDS,Switzerland,Italy
2L,ZRH,BOD,Switzerland,France
2L,ZRH,BRS,Switzerland,United Kingdom
2L,ZRH,LCA,Switzerland,Cyprus
2L,ZRH,LPA,Switzerland,Spain
2L,ZRH,RMF,Switzerland,Egypt
2N,ARN,MHQ,Sweden,Finland
2N,ARN,POR,Sweden,Finland
2N,ARN,TRF,Sweden,Norway
2N,MHQ,ARN,Finland,Sweden
2N,OSL,VXO,Norway,Sweden
2N,POR,ARN,Finland,Sweden
2N,TRF,ARN,Norway,Sweden
2N,VXO,OSL,Sweden,Norway
2P,DWC,MNL,United Arab Emirates,Philippines
2P,MNL,DWC,Philippines,United Arab Emirates
3G,ACC,DKR,Ghana,Senegal
3G,ACC,LOS,Ghana,Nigeria
3G,ACC,ROB,Ghana,Liberia
3G,BCN,BJL,Spain,Gambia
3G,BJL,BCN,Gambia,Spain
3G,BJL,DKR,Gambia,Senegal
3G,BJL,FNA,Gambia,Sierra Leone
3G,CKY,OXB,Guinea,Guinea-Bissau
3G,DKR,ACC,Senegal,Ghana
3G,DKR,BJL,Senegal,Gambia
3G,DKR,DLA,Senegal,Cameroon
3G,DKR,FNA,Senegal,Sierra Leone
3G,DKR,LOS,Senegal,Nigeria
3G,DKR,OXB,Senegal,Guinea-Bissau
3G,DLA,DKR,Cameroon,Senegal
3G,DLA,LOS,Cameroon,Nigeria
3G,FNA,BJL,Sierra Leone,Gambia
3G,FNA,DKR,Sierra Leone,Senegal
3G,FNA,LGW,Sierra Leone,United Kingdom
3G,FNA,ROB,Sierra Leone,Liberia
3G,LGW,FNA,United Kingdom,Sierra Leone
3G,LOS,ACC,Nigeria,Ghana
3G,LOS,DKR,Nigeria,Senegal
3G,LOS,DLA,Nigeria,Cameroon
3G,LOS,ROB,Nigeria,Liberia
3G,OXB,CKY,Guinea-Bissau,Guinea
3G,OXB,DKR,Guinea-Bissau,Senegal
3G,ROB,ACC,Liberia,Ghana
3G,ROB,FNA,Liberia,Sierra Leone
3G,ROB,LOS,Liberia,Nigeria
3J,JIB,DXB,Djibouti,United Arab Emirates
3J,JIB,JED,Djibouti,Saudi Arabia
3J,JIB,MGQ,Djibouti,Somalia
3J,MGQ,NBO,Somalia,Kenya
3J,NBO,MGQ,Kenya,Somalia
3K,BKK,SIN,Thailand,Singapore
3K,DRW,SIN,Australia,Singapore
3K,HAK,SIN,China,Singapore
3K,HGH,SIN,China,Singapore
3K,HKG,SIN,Hong Kong,Singapore
3K,HKT,SIN,Thailand,Singapore
3K,KIX,MNL,Japan,Philippines
3K,KIX,TPE,Japan,Taiwan
3K,KUL,SIN,Malaysia,Singapore
3K,MNL,KIX,Philippines,Japan
3K,MNL,SIN,Philippines,Singapore
3K,PEN,SIN,Malaysia,Singapore
3K,PER,SIN,Australia,Singapore
3K,PNH,SIN,Cambodia,Singapore
3K,REP,SIN,Cambodia,Singapore
3K,RGN,SIN,Burma,Singapore
3K,SGN,SIN,Vietnam,Singapore
3K,SIN,BKK,Singapore,Thailand
3K,SIN,DRW,Singapore,Australia
3K,SIN,HAK,Singapore,China
3K,SIN,HGH,Singapore,China
3K,SIN,HKG,Singapore,Hong Kong
3K,SIN,HKT,Singapore,Thailand
3K,SIN,KUL,Singapore,Malaysia
3K,SIN,MNL,Singapore,Philippines
3K,SIN,PEN,Singapore,Malaysia
3K,SIN,PER,Singapore,Australia
3K,SIN,PNH,Singapore,Cambodia
3K,SIN,REP,Singapore,Cambodia
3K,SIN,RGN,Singapore,Burma
3K,SIN,SGN,Singapore,Vietnam
3K,SIN,SWA,Singapore,China
3K,SIN,TPE,Singapore,Taiwan
3K,SWA,SIN,China,Singapore
3K,TPE,KIX,Taiwan,Japan
3K,TPE,SIN,Taiwan,Singapore
3L,ACH,EBA,Switzerland,Italy
3L,DRS,ZRH,Germany,Switzerland
3L,EBA,ACH,Italy,Switzerland
3L,EBA,FDH,Italy,Germany
3L,EBA,MUC,Italy,Germany
3L,EBA,ZRH,Italy,Switzerland
3L,FDH,EBA,Germany,Italy
3L,FDH,OLB,Germany,Italy
3L,FDH,ZAD,Germany,Croatia
3L,FMM,NAP,Germany,Italy
3L,GRZ,ZRH,Austria,Switzerland
3L,MUC,EBA,Germany,Italy
3L,NAP,FMM,Italy,Germany
3L,OLB,FDH,Italy,Germany
3L,SZG,ZRH,Austria,Switzerland
3L,ZAD,FDH,Croatia,Germany
3L,ZRH,DRS,Switzerland,Germany
3L,ZRH,EBA,Switzerland,Italy
3L,ZRH,GRZ,Switzerland,Austria
3L,ZRH,SZG,Switzerland,Austria
3M,BIM,FLL,Bahamas,United States
3M,ELH,FLL,Bahamas,United States
3M,ELH,PBI,Bahamas,United States
3M,FLL,BIM,United States,Bahamas
3M,FLL,ELH,United States,Bahamas
3M,FLL,FPO,United States,Bahamas
3M,FLL,GGT,United States,Bahamas
3M,FLL,GHB,United States,Bahamas
3M,FLL,MHH,United States,Bahamas
3M,FLL,TCB,United States,Bahamas
3M,FPO,FLL,Bahamas,United States
3M,GGT,FLL,Bahamas,United States
3M,GHB,FLL,Bahamas,United States
3M,JAX,MHH,United States,Bahamas
3M,MCO,MHH,United States,Bahamas
3M,MHH,FLL,Bahamas,United States
3M,MHH,JAX,Bahamas,United States
3M,MHH,MCO,Bahamas,United States
3M,MHH,PBI,Bahamas,United States
3M,PBI,ELH,United States,Bahamas
3M,PBI,MHH,United States,Bahamas
3M,TCB,FLL,Bahamas,United States
3O,AMS,NDR,Netherlands,Morocco
3O,AMS,TNG,Netherlands,Morocco
3O,BCN,CMN,Spain,Morocco
3O,BCN,NDR,Spain,Morocco
3O,BCN,TNG,Spain,Morocco
3O,BGY,CMN,Italy,Morocco
3O,BLQ,CMN,Italy,Morocco
3O,BRU,CMN,Belgium,Morocco
3O,BRU,NDR,Belgium,Morocco
3O,BRU,TNG,Belgium,Morocco
3O,CGN,NDR,Germany,Morocco
3O,CMN,BCN,Morocco,Spain
3O,CMN,BGY,Morocco,Italy
3O,CMN,BLQ,Morocco,Italy
3O,CMN,BRU,Morocco,Belgium
3O,CMN,CUF,Morocco,Italy
3O,CMN,LGW,Morocco,United Kingdom
3O,CMN,LYS,Morocco,France
3O,CMN,MPL,Morocco,France
3O,CMN,SAW,Morocco,Turkey
3O,CMN,TLS,Morocco,France
3O,CMN,TSF,Morocco,Italy
3O,CUF,CMN,Italy,Morocco
3O,FEZ,MPL,Morocco,France
3O,LGW,CMN,United Kingdom,Morocco
3O,LGW,TNG,United Kingdom,Morocco
3O,LYS,CMN,France,Morocco
3O,MPL,CMN,France,Morocco
3O,MPL,FEZ,France,Morocco
3O,MPL,NDR,France,Morocco
3O,NDR,AMS,Morocco,Netherlands
3O,NDR,BCN,Morocco,Spain
3O,NDR,BRU,Morocco,Belgium
3O,NDR,CGN,Morocco,Germany
3O,NDR,MPL,Morocco,France
3O,NDR,PMI,Morocco,Spain
3O,PMI,NDR,Spain,Morocco
3O,SAW,CMN,Turkey,Morocco
3O,TLS,CMN,France,Morocco
3O,TNG,AMS,Morocco,Netherlands
3O,TNG,BCN,Morocco,Spain
3O,TNG,BRU,Morocco,Belgium
3O,TNG,LGW,Morocco,United Kingdom
3O,TSF,CMN,Italy,Morocco
3P,AUA,LSP,Aruba,Venezuela
3P,AUA,MAR,Aruba,Venezuela
3P,CUR,AUA,Netherlands Antilles,Aruba
3P,LSP,AUA,Venezuela,Aruba
3P,MAR,AUA,Venezuela,Aruba
3R,BHK,DME,Uzbekistan,Russia
3R,DME,BHK,Russia,Uzbekistan
3R,DME,FEG,Russia,Uzbekistan
3R,DME,KSQ,Russia,Uzbekistan
3R,DME,NMA,Russia,Uzbekistan
3R,DME,NVI,Russia,Uzbekistan
3R,DME,SKD,Russia,Uzbekistan
3R,DME,TIV,Russia,Montenegro
3R,FEG,DME,Uzbekistan,Russia
3R,KSQ,DME,Uzbekistan,Russia
3R,NMA,DME,Uzbekistan,Russia
3R,NVI,DME,Uzbekistan,Russia
3R,SKD,DME,Uzbekistan,Russia
3R,TIV,DME,Montenegro,Russia
3S,ANU,PTP,Antigua and Barbuda,Guadeloupe
3S,CAY,FDF,French Guiana,Martinique
3S,CUR,SDQ,Netherlands Antilles,Dominican Republic
3S,DOM,PTP,Dominica,Guadeloupe
3S,DOM,SXM,Dominica,Netherlands Antilles
3S,FDF,CAY,Martinique,French Guiana
3S,FDF,PTP,Martinique,Guadeloupe
3S,FDF,SDQ,Martinique,Dominican Republic
3S,FDF,SLU,Martinique,Saint Lucia
3S,PTP,ANU,Guadeloupe,Antigua and Barbuda
3S,PTP,DOM,Guadeloupe,Dominica
3S,PTP,FDF,Guadeloupe,Martinique
3S,PTP,SBH,Guadeloupe,France
3S,PTP,SDQ,Guadeloupe,Dominican Republic
3S,PTP,SXM,Guadeloupe,Netherlands Antilles
3S,SBH,PTP,France,Guadeloupe
3S,SDQ,PTP,Dominican Republic,Guadeloupe
3S,SDQ,SXM,Dominican Republic,Netherlands Antilles
3S,SLU,FDF,Saint Lucia,Martinique
3S,SXM,DOM,Netherlands Antilles,Dominica
3S,SXM,PTP,Netherlands Antilles,Guadeloupe
3S,SXM,SDQ,Netherlands Antilles,Dominican Republic
3U,CAN,SPN,China,Northern Mariana Islands
3U,CKG,HKT,China,Thailand
3U,CKG,SYD,China,Australia
3U,CKG,TSA,China,Taiwan
3U,CTU,HKG,China,Hong Kong
3U,CTU,HKT,China,Thailand
3U,CTU,ICN,China,South Korea
3U,CTU,MEL,China,Australia
3U,CTU,TSA,China,Taiwan
3U,HKG,CTU,Hong Kong,China
3U,HKG,YIH,Hong Kong,China
3U,HKG,ZHA,Hong Kong,China
3U,HKT,CKG,Thailand,China
3U,HKT,CTU,Thailand,China
3U,ICN,CTU,South Korea,China
3U,KMG,TPE,China,Taiwan
3U,MEL,CTU,Australia,China
3U,NNG,SGN,China,Vietnam
3U,PVG,SPN,China,Northern Mariana Islands
3U,SGN,NNG,Vietnam,China
3U,SHE,YVR,China,Canada
3U,SPN,CAN,Northern Mariana Islands,China
3U,SPN,PVG,Northern Mariana Islands,China
3U,SYD,CKG,Australia,China
3U,TPE,KMG,Taiwan,China
3U,TSA,CKG,Taiwan,China
3U,TSA,CTU,Taiwan,China
3U,YIH,HKG,China,Hong Kong
3U,YVR,SHE,Canada,China
3U,ZHA,HKG,China,Hong Kong
4D,CAI,TLV,Egypt,Israel
4D,TLV,CAI,Israel,Egypt
4G,NCU,VKO,Uzbekistan,Russia
4G,VKO,NCU,Russia,Uzbekistan
4H,BKK,DAC,Thailand,Bangladesh
4H,CCU,CGP,India,Bangladesh
4H,CCU,DAC,India,Bangladesh
4H,CGP,CCU,Bangladesh,India
4H,CGP,MCT,Bangladesh,Oman
4H,DAC,BKK,Bangladesh,Thailand
4H,DAC,CCU,Bangladesh,India
4H,DAC,DXB,Bangladesh,United Arab Emirates
4H,DAC,JED,Bangladesh,Saudi Arabia
4H,DAC,KTM,Bangladesh,Nepal
4H,DAC,KUL,Bangladesh,Malaysia
4H,DAC,MCT,Bangladesh,Oman
4H,DXB,DAC,United Arab Emirates,Bangladesh
4H,JED,DAC,Saudi Arabia,Bangladesh
4H,KTM,DAC,Nepal,Bangladesh
4H,KUL,DAC,Malaysia,Bangladesh
4H,MCT,CGP,Oman,Bangladesh
4H,MCT,DAC,Oman,Bangladesh
4M,DFW,EZE,United States,Argentina
4M,EZE,DFW,Argentina,United States
4M,EZE,JFK,Argentina,United States
4M,EZE,MIA,Argentina,United States
4M,EZE,PUJ,Argentina,Dominican Republic
4M,JFK,EZE,United States,Argentina
4M,MIA,EZE,United States,Argentina
4M,MIA,PUJ,United States,Dominican Republic
4M,PUJ,EZE,Dominican Republic,Argentina
4M,PUJ,MIA,Dominican Republic,United States
4O,BOG,MEX,Colombia,Mexico
4O,GDL,SAT,Mexico,United States
4O,GDL,SNA,Mexico,United States
4O,GUA,MEX,Guatemala,Mexico
4O,HAV,MEX,Cuba,Mexico
4O,JFK,MEX,United States,Mexico
4O,LAS,MTY,United States,Mexico
4O,LAS,TLC,United States,Mexico
4O,MEX,BOG,Mexico,Colombia
4O,MEX,GUA,Mexico,Guatemala
4O,MEX,HAV,Mexico,Cuba
4O,MEX,JFK,Mexico,United States
4O,MEX,MIA,Mexico,United States
4O,MEX,SAT,Mexico,United States
4O,MEX,SJO,Mexico,Costa Rica
4O,MEX,SNA,Mexico,United States
4O,MIA,MEX,United States,Mexico
4O,MTY,LAS,Mexico,United States
4O,MTY,SAT,Mexico,United States
4O,SAT,GDL,United States,Mexico
4O,SAT,MEX,United States,Mexico
4O,SAT,MTY,United States,Mexico
4O,SAT,TLC,United States,Mexico
4O,SJO,MEX,Costa Rica,Mexico
4O,SNA,GDL,United States,Mexico
4O,SNA,MEX,United States,Mexico
4O,TLC,LAS,Mexico,United States
4O,TLC,SAT,Mexico,United States
4Q,DEL,HEA,India,Afghanistan
4Q,DEL,KBL,India,Afghanistan
4Q,DXB,KBL,United Arab Emirates,Afghanistan
4Q,HEA,DEL,Afghanistan,India
4Q,HEA,ISB,Afghanistan,Pakistan
4Q,ISB,HEA,Pakistan,Afghanistan
4Q,ISB,KBL,Pakistan,Afghanistan
4Q,KBL,DEL,Afghanistan,India
4Q,KBL,DXB,Afghanistan,United Arab Emirates
4Q,KBL,ISB,Afghanistan,Pakistan
4T,AYT,ZRH,Turkey,Switzerland
4T,BSL,HRG,France,Egypt
4T,HRG,BSL,Egypt,France
4T,HRG,ZRH,Egypt,Switzerland
4T,PRN,ZRH,Serbia,Switzerland
4T,RMF,ZRH,Egypt,Switzerland
4T,SKP,ZRH,Macedonia,Switzerland
4T,ZRH,AYT,Switzerland,Turkey
4T,ZRH,HRG,Switzerland,Egypt
4T,ZRH,PRN,Switzerland,Serbia
4T,ZRH,RMF,Switzerland,Egypt
4T,ZRH,SKP,Switzerland,Macedonia
4U,AGP,STR,Spain,Germany
4U,AGP,TXL,Spain,Germany
4U,ALG,CGN,Algeria,Germany
4U,AMS,HAM,Netherlands,Germany
4U,AOI,DUS,Italy,Germany
4U,AOI,TXL,Italy,Germany
4U,ARN,CGN,Sweden,Germany
4U,ARN,DUS,Sweden,Germany
4U,ARN,HAM,Sweden,Germany
4U,ATH,CGN,Greece,Germany
4U,ATH,STR,Greece,Germany
4U,AYT,CGN,Turkey,Germany
4U,BCN,CGN,Spain,Germany
4U,BCN,DUS,Spain,Germany
4U,BCN,HAJ,Spain,Germany
4U,BCN,HAM,Spain,Germany
4U,BCN,STR,Spain,Germany
4U,BDS,STR,Italy,Germany
4U,BEG,STR,Serbia,Germany
4U,BGO,HAM,Norway,Germany
4U,BHX,HAM,United Kingdom,Germany
4U,BHX,TXL,United Kingdom,Germany
4U,BIA,CGN,France,Germany
4U,BIA,DUS,France,Germany
4U,BIA,HAM,France,Germany
4U,BIA,STR,France,Germany
4U,BIA,TXL,France,Germany
4U,BIO,DUS,Spain,Germany
4U,BIO,STR,Spain,Germany
4U,BLQ,CGN,Italy,Germany
4U,BLQ,TXL,Italy,Germany
4U,BRI,CGN,Italy,Germany
4U,BRI,DUS,Italy,Germany
4U,BRI,STR,Italy,Germany
4U,BRU,STR,Belgium,Germany
4U,BSL,DUS,France,Germany
4U,BUD,CGN,Hungary,Germany
4U,BUD,HAM,Hungary,Germany
4U,BUD,STR,Hungary,Germany
4U,CAG,CGN,Italy,Germany
4U,CAG,DUS,Italy,Germany
4U,CAG,STR,Italy,Germany
4U,CDG,HAM,France,Germany
4U,CFU,CGN,Greece,Germany
4U,CFU,DRS,Greece,Germany
4U,CFU,STR,Greece,Germany
4U,CGN,ALG,Germany,Algeria
4U,CGN,ARN,Germany,Sweden
4U,CGN,ATH,Germany,Greece
4U,CGN,AYT,Germany,Turkey
4U,CGN,BCN,Germany,Spain
4U,CGN,BIA,Germany,France
4U,CGN,BLQ,Germany,Italy
4U,CGN,BRI,Germany,Italy
4U,CGN,BUD,Germany,Hungary
4U,CGN,CAG,Germany,Italy
4U,CGN,CFU,Germany,Greece
4U,CGN,CLY,Germany,France
4U,CGN,CTA,Germany,Italy
4U,CGN,DBV,Germany,Croatia
4U,CGN,DUB,Germany,Ireland
4U,CGN,EDI,Germany,United Kingdom
4U,CGN,FAO,Germany,Portugal
4U,CGN,FCO,Germany,Italy
4U,CGN,HER,Germany,Greece
4U,CGN,IBZ,Germany,Spain
4U,CGN,JMK,Germany,Greece
4U,CGN,JTR,Germany,Greece
4U,CGN,KGS,Germany,Greece
4U,CGN,KLU,Germany,Austria
4U,CGN,KVA,Germany,Greece
4U,CGN,LHR,Germany,United Kingdom
4U,CGN,LIS,Germany,Portugal
4U,CGN,LPA,Germany,Spain
4U,CGN,MAN,Germany,United Kingdom
4U,CGN,MXP,Germany,Italy
4U,CGN,NAP,Germany,Italy
4U,CGN,NCE,Germany,France
4U,CGN,NDR,Germany,Morocco
4U,CGN,OLB,Germany,Italy
4U,CGN,PMI,Germany,Spain
4U,CGN,PMO,Germany,Italy
4U,CGN,PRG,Germany,Czech Republic
4U,CGN,PSA,Germany,Italy
4U,CGN,PUY,Germany,Croatia
4U,CGN,RAK,Germany,Morocco
4U,CGN,RHO,Germany,Greece
4U,CGN,RJK,Germany,Croatia
4U,CGN,SAW,Germany,Turkey
4U,CGN,SJJ,Germany,Bosnia and Herzegovina
4U,CGN,SKG,Germany,Greece
4U,CGN,SPU,Germany,Croatia
4U,CGN,STN,Germany,United Kingdom
4U,CGN,SUF,Germany,Italy
4U,CGN,SZG,Germany,Austria
4U,CGN,TLV,Germany,Israel
4U,CGN,TUN,Germany,Tunisia
4U,CGN,VCE,Germany,Italy
4U,CGN,VIE,Germany,Austria
4U,CGN,VRN,Germany,Italy
4U,CGN,WAW,Germany,Poland
4U,CGN,XRY,Germany,Spain
4U,CGN,ZAD,Germany,Croatia
4U,CGN,ZAG,Germany,Croatia
4U,CGN,ZRH,Germany,Switzerland
4U,CLY,CGN,France,Germany
4U,CTA,CGN,Italy,Germany
4U,CTA,DUS,Italy,Germany
4U,CTA,HAJ,Italy,Germany
4U,CTA,HAM,Italy,Germany
4U,CTA,STR,Italy,Germany
4U,CTA,TXL,Italy,Germany
4U,CWL,DUS,United Kingdom,Germany
4U,DBV,CGN,Croatia,Germany
4U,DBV,DUS,Croatia,Germany
4U,DBV,HAJ,Croatia,Germany
4U,DBV,HAM,Croatia,Germany
4U,DBV,STR,Croatia,Germany
4U,DBV,TXL,Croatia,Germany
4U,DRS,CFU,Germany,Greece
4U,DTM,PMI,Germany,Spain
4U,DTM,SAW,Germany,Turkey
4U,DTM,SPU,Germany,Croatia
4U,DUB,CGN,Ireland,Germany
4U,DUB,DUS,Ireland,Germany
4U,DUS,AOI,Germany,Italy
4U,DUS,ARN,Germany,Sweden
4U,DUS,BCN,Germany,Spain
4U,DUS,BIA,Germany,France
4U,DUS,BIO,Germany,Spain
4U,DUS,BRI,Germany,Italy
4U,DUS,BSL,Germany,France
4U,DUS,CAG,Germany,Italy
4U,DUS,CTA,Germany,Italy
4U,DUS,CWL,Germany,United Kingdom
4U,DUS,DBV,Germany,Croatia
4U,DUS,DUB,Germany,Ireland
4U,DUS,GVA,Germany,Switzerland
4U,DUS,HER,Germany,Greece
4U,DUS,IBZ,Germany,Spain
4U,DUS,KTW,Germany,Poland
4U,DUS,LYS,Germany,France
4U,DUS,MAD,Germany,Spain
4U,DUS,MPL,Germany,France
4U,DUS,MXP,Germany,Italy
4U,DUS,NQY,Germany,United Kingdom
4U,DUS,OLB,Germany,Italy
4U,DUS,PMI,Germany,Spain
4U,DUS,POZ,Germany,Poland
4U,DUS,PRG,Germany,Czech Republic
4U,DUS,PRN,Germany,Serbia
4U,DUS,SKG,Germany,Greece
4U,DUS,SPU,Germany,Croatia
4U,DUS,SUF,Germany,Italy
4U,DUS,TRN,Germany,Italy
4U,DUS,VCE,Germany,Italy
4U,DUS,WAW,Germany,Poland
4U,DUS,WRO,Germany,Poland
4U,DUS,ZAD,Germany,Croatia
4U,EDI,CGN,United Kingdom,Germany
4U,FAO,CGN,Portugal,Germany
4U,FAO,HAM,Portugal,Germany
4U,FAO,STR,Portugal,Germany
4U,FCO,CGN,Italy,Germany
4U,FCO,HAJ,Italy,Germany
4U,FCO,HAM,Italy,Germany
4U,FCO,STR,Italy,Germany
4U,FCO,TXL,Italy,Germany
4U,GVA,DUS,Switzerland,Germany
4U,GVA,HAM,Switzerland,Germany
4U,HAJ,BCN,Germany,Spain
4U,HAJ,CTA,Germany,Italy
4U,HAJ,DBV,Germany,Croatia
4U,HAJ,FCO,Germany,Italy
4U,HAJ,HER,Germany,Greece
4U,HAJ,MXP,Germany,Italy
4U,HAJ,NAP,Germany,Italy
4U,HAJ,PMI,Germany,Spain
4U,HAJ,PRN,Germany,Serbia
4U,HAJ,SAW,Germany,Turkey
4U,HAJ,SKG,Germany,Greece
4U,HAJ,SPU,Germany,Croatia
4U,HAJ,STN,Germany,United Kingdom
4U,HAJ,SUF,Germany,Italy
4U,HAJ,VCE,Germany,Italy
4U,HAJ,VIE,Germany,Austria
4U,HAM,AMS,Germany,Netherlands
4U,HAM,ARN,Germany,Sweden
4U,HAM,BCN,Germany,Spain
4U,HAM,BGO,Germany,Norway
4U,HAM,BHX,Germany,United Kingdom
4U,HAM,BIA,Germany,France
4U,HAM,BUD,Germany,Hungary
4U,HAM,CDG,Germany,France
4U,HAM,CTA,Germany,Italy
4U,HAM,DBV,Germany,Croatia
4U,HAM,FAO,Germany,Portugal
4U,HAM,FCO,Germany,Italy
4U,HAM,GVA,Germany,Switzerland
4U,HAM,HER,Germany,Greece
4U,HAM,KLU,Germany,Austria
4U,HAM,LHR,Germany,United Kingdom
4U,HAM,MAD,Germany,Spain
4U,HAM,MAN,Germany,United Kingdom
4U,HAM,MXP,Germany,Italy
4U,HAM,NAP,Germany,Italy
4U,HAM,NCE,Germany,France
4U,HAM,OLB,Germany,Italy
4U,HAM,OSL,Germany,Norway
4U,HAM,PMI,Germany,Spain
4U,HAM,PRG,Germany,Czech Republic
4U,HAM,PRN,Germany,Serbia
4U,HAM,RJK,Germany,Croatia
4U,HAM,SAW,Germany,Turkey
4U,HAM,SKG,Germany,Greece
4U,HAM,SPU,Germany,Croatia
4U,HAM,TLS,Germany,France
4U,HAM,VCE,Germany,Italy
4U,HAM,VIE,Germany,Austria
4U,HAM,VRN,Germany,Italy
4U,HAM,ZRH,Germany,Switzerland
4U,HEL,TXL,Finland,Germany
4U,HER,CGN,Greece,Germany
4U,HER,DUS,Greece,Germany
4U,HER,HAJ,Greece,Germany
4U,HER,HAM,Greece,Germany
4U,HER,STR,Greece,Germany
4U,HER,TXL,Greece,Germany
4U,IBZ,CGN,Spain,Germany
4U,IBZ,DUS,Spain,Germany
4U,IBZ,STR,Spain,Germany
4U,IBZ,TXL,Spain,Germany
4U,JMK,CGN,Greece,Germany
4U,JTR,CGN,Greece,Germany
4U,KGS,CGN,Greece,Germany
4U,KLU,CGN,Austria,Germany
4U,KLU,HAM,Austria,Germany
4U,KLU,TXL,Austria,Germany
4U,KRK,STR,Poland,Germany
4U,KTW,DUS,Poland,Germany
4U,KVA,CGN,Greece,Germany
4U,KVA,STR,Greece,Germany
4U,LHR,CGN,United Kingdom,Germany
4U,LHR,HAM,United Kingdom,Germany
4U,LHR,STR,United Kingdom,Germany
4U,LHR,TXL,United Kingdom,Germany
4U,LIN,TXL,Italy,Germany
4U,LIS,CGN,Portugal,Germany
4U,LIS,STR,Portugal,Germany
4U,LPA,CGN,Spain,Germany
4U,LYS,DUS,France,Germany
4U,MAD,DUS,Spain,Germany
4U,MAD,HAM,Spain,Germany
4U,MAN,CGN,United Kingdom,Germany
4U,MAN,HAM,United Kingdom,Germany
4U,MPL,DUS,France,Germany
4U,MXP,CGN,Italy,Germany
4U,MXP,DUS,Italy,Germany
4U,MXP,HAJ,Italy,Germany
4U,MXP,HAM,Italy,Germany
4U,MXP,STR,Italy,Germany
4U,NAP,CGN,Italy,Germany
4U,NAP,HAJ,Italy,Germany
4U,NAP,HAM,Italy,Germany
4U,NAP,STR,Italy,Germany
4U,NCE,CGN,France,Germany
4U,NCE,HAM,France,Germany
4U,NCE,TXL,France,Germany
4U,NDR,CGN,Morocco,Germany
4U,NQY,DUS,United Kingdom,Germany
4U,OLB,CGN,Italy,Germany
4U,OLB,DUS,Italy,Germany
4U,OLB,HAM,Italy,Germany
4U,OLB,STR,Italy,Germany
4U,OSL,HAM,Norway,Germany
4U,PMI,CGN,Spain,Germany
4U,PMI,DTM,Spain,Germany
4U,PMI,DUS,Spain,Germany
4U,PMI,HAJ,Spain,Germany
4U,PMI,HAM,Spain,Germany
4U,PMI,STR,Spain,Germany
4U,PMI,TXL,Spain,Germany
4U,PMO,CGN,Italy,Germany
4U,POZ,DUS,Poland,Germany
4U,PRG,CGN,Czech Republic,Germany
4U,PRG,DUS,Czech Republic,Germany
4U,PRG,HAM,Czech Republic,Germany
4U,PRN,DUS,Serbia,Germany
4U,PRN,HAJ,Serbia,Germany
4U,PRN,HAM,Serbia,Germany
4U,PRN,STR,Serbia,Germany
4U,PRN,TXL,Serbia,Germany
4U,PSA,CGN,Italy,Germany
4U,PUY,CGN,Croatia,Germany
4U,RAK,CGN,Morocco,Germany
4U,RHO,CGN,Greece,Germany
4U,RJK,CGN,Croatia,Germany
4U,RJK,HAM,Croatia,Germany
4U,RJK,STR,Croatia,Germany
4U,SAW,CGN,Turkey,Germany
4U,SAW,DTM,Turkey,Germany
4U,SAW,HAJ,Turkey,Germany
4U,SAW,HAM,Turkey,Germany
4U,SAW,STR,Turkey,Germany
4U,SAW,TXL,Turkey,Germany
4U,SJJ,CGN,Bosnia and Herzegovina,Germany
4U,SJJ,STR,Bosnia and Herzegovina,Germany
4U,SJJ,TXL,Bosnia and Herzegovina,Germany
4U,SKG,CGN,Greece,Germany
4U,SKG,DUS,Greece,Germany
4U,SKG,HAJ,Greece,Germany
4U,SKG,HAM,Greece,Germany
4U,SKG,STR,Greece,Germany
4U,SPU,CGN,Croatia,Germany
